CustomerID,Lookalikes
C0001,"[('C0069', 0.95), ('C0146', 0.82), ('C0148', 0.77)]"
C0002,"[('C0134', 0.94), ('C0062', 0.91), ('C0133', 0.86)]"
C0003,"[('C0031', 0.87), ('C0166', 0.84), ('C0002', 0.82)]"
C0004,"[('C0017', 0.89), ('C0113', 0.89), ('C0047', 0.87)]"
C0005,"[('C0007', 0.94), ('C0120', 0.89), ('C0197', 0.89)]"
C0006,"[('C0135', 0.98), ('C0185', 0.76), ('C0131', 0.74)]"
C0007,"[('C0005', 0.94), ('C0120', 0.84), ('C0146', 0.83)]"
C0008,"[('C0162', 0.94), ('C0113', 0.88), ('C0098', 0.78)]"
C0009,"[('C0040', 0.88), ('C0092', 0.86), ('C0198', 0.83)]"
C0010,"[('C0077', 0.94), ('C0176', 0.94), ('C0083', 0.93)]"
C0011,"[('C0171', 0.91), ('C0070', 0.9), ('C0191', 0.84)]"
C0012,"[('C0065', 0.97), ('C0047', 0.9), ('C0104', 0.89)]"
C0013,"[('C0067', 0.96), ('C0184', 0.91), ('C0105', 0.89)]"
C0014,"[('C0097', 1.0), ('C0151', 0.96), ('C0060', 0.95)]"
C0015,"[('C0080', 0.93), ('C0123', 0.92), ('C0085', 0.91)]"
C0016,"[('C0048', 0.81), ('C0013', 0.8), ('C0066', 0.73)]"
C0017,"[('C0075', 0.95), ('C0004', 0.89), ('C0147', 0.87)]"
C0018,"[('C0019', 0.78), ('C0035', 0.74), ('C0177', 0.74)]"
C0019,"[('C0191', 0.87), ('C0174', 0.86), ('C0126', 0.86)]"
C0020,"[('C0130', 1.0), ('C0140', 0.94), ('C0080', 0.89)]"
